Specimen,f1,f2,f3a,f5,f6,f7,f8,f9,f10,f11a,f12,f13a,f19,f20,f21,f22a,f23,f24,f25a,f26,f27,f28a,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,Latitude,Longitude,Country,Ocean,Morphogroup
USNM49321-1,3.998333333,,0,1.155333333,0.408,0.391,2,0.6545,1.9145,0.341666667,2,,8,8,,,1,3,1,36,45,2,0.171333333,0,0.63,0.219333333,55,0.865,0.440666667,0.202333333,1,1,20,14,1,55,56,0.5,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
USNM44243-2,10.0165,1.96,1,4.658,1.56925,1.2835,2,0.955,3.3625,0.64975,1,0.375,8,8,1,1.09,1,4,1,200,200,6,0.486,0.123,1.20375,0.362666667,245,1.2315,0.4875,0.443,3,3,40,35,1,245,238,0.25,71.357717,-156.330985,USA-Arctic,Arctic,Arctic
USNM44243-1,13.225,2.36,0.75,5.3135,1.707666667,1.4055,3,1.498,5.0865,0.204,1,0.6225,8,8,1,1,1,6,1,220,288,7,0.3025,0,1.79425,0.543,250,2.17225,0.531,0.7275,3.5,3.5,30,26,1,250,307,1,71.357717,-156.330985,USA-Arctic,Arctic,Arctic
USNM30988,11.989,1.856,4,9.411,1.973,1.247,3,1.186,5.8965,0.912333333,2,1.19825,,,1,1.619,1,1.333333333,1,4,4.5,0,0.4705,0,2.35525,0.3515,30,2.531,0.32575,0.69875,0.25,0,28,19,1,28,22.5,0,44.7144,-66.889608,Canada-NE,Atlantic,Canada-NE
USNM30986-2,8.49,,0,3.37,,0.483,2,1.918,3.551,0.248,1,,8,8,,,1,6.5,1,20,11,1.5,0.227,0,0.8165,0.2768,42,1.126,0.7095,,1,0.5,19,26,1,42,31,0.25,18.235589,-65.567046,Puerto Rico,Atlantic,Caribbean
USNM30986-1,12.714,,0,,,,2,1.641,4.4,0.581,1,0.6215,8,8,3,1.432,1,3.5,1,16.5,15,2,0.345,0.10775,1.3795,0.3295,66,1.49925,0.61,0.701,1.142857143,0.857142857,48,29.5,1,61,35.5,1,18.235589,-65.567046,Puerto Rico,Atlantic,Caribbean
USNM30985-2,7.9615,0.689,0,3.35425,1.401,0.64125,3,1.321,3.776,0.62775,2,0.46925,8,8,1,0.294,1,2,1,6,4.5,0,0.071666667,0,1.2275,0.178,23,1.55925,0.42575,0.63475,0,0,19.5,18.5,1,22.5,22.5,0,41.520265,-70.673949,USA-NE,Atlantic,USA-NE
USNM30985-1,8.45,0.689,0,3.562,1.4865,0.80425,3,1.4325,4.5645,0.622,1,0.5805,8,8,3,0.512,1,2,1,2.5,3,0,0.19025,0,1.566,0.21625,21,2.182,0.3695,0.8715,0,0,18,14.5,1,19,14.5,0,41.520265,-70.673949,USA-NE,Atlantic,USA-NE
USNM30885,23.097,1.043,3,13.0035,3.158,2.12425,3,3.337,11.7275,1.012333333,1,0.930666667,8,8,1,1.257,1,3,1,10,6,0,0.506666667,0,4.19525,0.335,42,5.55925,0.65625,1.855,0.166666667,0,30.5,26.5,1.166666667,38,30,0.166666667,43.6977,-69.9922,USA-NE,Atlantic,USA-NE
USNM29787-2,11.586,1.602,,,1.642,,3,1.4745,4.8795,0.224666667,1,0.92,8,8,3,1.628,1,2.666666667,1,1.5,1,0,0.429333333,0.144,1.7025,0.325666667,26,1.78925,0.4985,0.73375,0,0,25,26,1,25.5,27,0,36.0583,135.9,Japan,Pacific,Japan
USNM29786-2,11.293,3.03,0,5.122,2.1935,1.472,3,2.004,5.12,0.486,1,0.605,,,3,1.71,1,6,1,,,,0.251,0,1.543333333,0.327,,2.227333333,0.707666667,1.1755,,,,,,,,,42.33,141,Japan,Pacific,Japan
USNM29786-1,12.70266,3.01,0,5.835,2.534666667,2.302,3,1.441,5.361,0.5335,1,1.0025,,,3,2.61,1,6.5,1,320,370,8,0.361,0,2.4265,0.3485,370,2.4265,0.6535,0.961,4,4,50,40,1,370,400,2,42.33,141,Japan,Pacific,Japan
USNM29691-4,1.7265,,0,0.561,0.242,0.205,1,0.342,0.757,0.328,4,,6,6,,,1,1,1,27,20,6,0.0765,0,0.2075,0.150666667,40,0.3325,0.1925,0.143,3,3,14,15,1,40,35,0.5,53.88,-166.53,USA-Alaska,Pacific,USA-Alaska
USNM29691-3,1.7335,,0,0.4895,0.215333333,0.1795,4,0.372,0.6785,0.225,3,,8,8,,,1,1,1,13.5,17.5,5.5,0.079,0,0.15325,0.137666667,30,0.26575,0.1445,0.1475,2.75,2.75,16.5,12.5,1,28.5,28,0.5,53.88,-166.53,USA-Alaska,Pacific,USA-Alaska
USNM29691-2,1.3505,,0,0.367,0.196666667,0.15,4,0.3265,0.563,0.175,4,,8,8,,,1,1,1,7,7,2.666666667,0.0605,0,0.11825,0.132,16,0.202,0.1265,0.1345,1.333333333,1.333333333,9,8,1,16,14,1,53.88,-166.53,USA-Alaska,Pacific,USA-Alaska
USNM29691-1,2.1485,,0,0.8495,0.304,0.2505,1,0.484,0.875,0.2905,3,,8,8,,,1,1,1,14,13,4.5,0.0905,0,0.1955,0.202,28,0.352333333,0.211333333,0.1945,2.5,2,13,14,1,28,26,0.25,53.88,-166.53,USA-Alaska,Pacific,USA-Alaska
USNM28718-2,6.786,1.912,0,3.713666667,1.299,0.753,2,1.3485,3.453,0.508,2,0.553333333,,,3,1.674,1,1.666666667,1,3,5,0.25,0.214,0.0375,1.05225,0.185,27,1.30575,0.391666667,0.724666667,0,0.25,25,22,1,27,27,0.125,-4.7228,118.96,Indonesia-W,Pacific,Indonesia-W
USNM28718-1,9.917,,,,1.2345,,2,1.4415,3.2125,0.365,1,0.375666667,7,7,1,1.065,1,1.666666667,1,8,3,0.6,0.226666667,0,0.8855,0.201,38,1.14375,0.462,0.73225,0.2,0.4,28,26.5,1,37,29.5,0,-4.7228,118.96,Indonesia-W,Pacific,Indonesia-W
USNM27979-2,9.137,,,,1.7805,,,,,0.4375,1,1.08,,,3,2.06,1,4,1,,,1,,,,0.3835,,1.249,0.365,0.544,0.5,0.5,,,,,,0.75,6.07,121,Philippines,Pacific,Philippines
USNM27979-1,10.391,,,,,,,,,,,,14,7,3,1.44,1,4.666666667,1,8,6,2.666666667,0.659,0.379,,0.353,30,,,,1.333333333,1.333333333,22,23,1,30,25,1.5,6.07,121,Philippines,Pacific,Philippines
USNM27925-2,15.201,1.73,0,7.061666667,2.186666667,1.805,5,1.7905,5.427,0.461333333,1,0.8733,14,7,3,1.77,1,2,1,17.5,9,0.2,1.2835,0.691,1.81825,0.4985,50,2.11,0.439,1.0185,0,0.2,34,34,1,50,40.5,0,12.33,123.62,Philippines,Pacific,Philippines
USNM27925-1,16.92,1.67,0,5.9275,2.212333333,1.673,5,1.663,4.9955,0.329,1,0.9675,16,8,3,1.93,1,3,1,8.5,6.5,0,1.0575,0.627,1.66625,0.462,42,2.37125,0.36725,0.84425,0,0,32,29.5,1,39.5,34,0,12.33,123.62,Philippines,Pacific,Philippines
USNM27924-7,6.649,1.3,1.5,3.496333333,1.236333333,0.576333333,3,1.207666667,2.806666667,0.142,1,0.326666667,,,3,1.06,1,2.5,1,2,,,0.188,,0.7995,0.171,22,0.639333333,0.263333333,0.43625,,,20,,,22,,,10.0306,124.708,Philippines,Pacific,Philippines
USNM27924-6,7.6033,,,,1.35,1.062,3,1.175,3.723,0.464,2,0.616666667,,,3,1.6,1,3.666666667,1,,,,,,1.274,0.1745,,1.245,0.172,0.552,,,,,,,,,10.0306,124.708,Philippines,Pacific,Philippines
USNM27924-5,5.916,0.8,,,1.241,0.782,3,0.619,2.7035,0.528,2,0.585,,,2,1.1,1,2.5,1,,,,,,1.04225,0.18,,1.19225,0.13425,0.383,,,,,,,,,10.0306,124.708,Philippines,Pacific,Philippines
USNM27924-3,6.914,,,,1.196333333,0.748,3,0.845,2.874,0.442,2,0.453333333,,,2,1.06,1,3,1,,,,,,1.0145,0.2145,,0.9075,0.22,0.393,,,,,,,,,10.0306,124.708,Philippines,Pacific,Philippines
USNM27924-2,7.8405,,0,,0.978333333,0.7935,3,,,0.6715,2,0.566666667,,,2,1.31,1,3,1,,,,0.306,0,,0.237,,,,,,,,,,,,,10.0306,124.708,Philippines,Pacific,Philippines
USNM27924-1,7.929,1.29,0,,1.101333333,0.827,3,0.9835,2.767,0.4385,2,0.42,,,3,1.29,1,3,1,6,4,0.6,,,0.89175,0.18,31,0.97575,0.33525,0.55,0.4,0.2,23,18,1.4,30.5,20,0.4,10.0306,124.708,Philippines,Pacific,Philippines
USNM27923,10.077,0.94,0,4.084,1.221,0.714,2,1.2565,3.522,0.237,1,0.38,8,8,2,0.83,1,2,1,21.5,10,1.2,0.563,0.083666667,1.13275,0.2565,91,1.128,0.387,0.6585,0.4,0.2,49,34,1.6,70,43,1.6,12.33,123.62,Philippines,Pacific,Philippines
USNM1130898,6.284,,,,0.819666667,,3,1.0015,2.9905,0.34,1,0.297333333,,,2,0.71,1,3,1,,,,0.142,,0.9945,0.116333333,,0.7715,0.42675,0.39675,,,,,,,,,27.6452,-88.3658,USA-GoM-AL,Atlantic,USA-GoM
USNM1130897,19.123,0.972,,,1.742,,3,1.499,6.258,0.397,1,0.646,,,1,1.72,1,3,1,0,0,0,,0,2.3795,0.202,45,2.428,0.5775,0.601,0,0,45,48,1,45,44,0,29.1511,-88.0151,USA-GoM-AL,Atlantic,USA-GoM
UFC50,12.102,0.84,0,5.556,2.796,1.362,3,1.4725,5.638,0.419,1,0.935,7,7,3,2.14,1,5,1,10,14,0.571428571,0.499333333,0,2.08275,0.464666667,38,1.427,0.56225,0.71925,0.285714286,0.285714286,32,22,1,38,32,0.285714286,-4.626186,-37.500564,Brazil-NE,Atlantic,Brazil-NE
UFBA2,22.823,0.97,0,11.79466667,4.22175,2.351666667,3,1.9765,9.805666667,0.896333333,1,2.0525,16,8,1,3.8,1,6,1,34.5,29,2.666666667,0.871333333,0.4055,3.914583333,0.498666667,104,2.82725,0.75325,0.98525,1.666666667,1,56,29.5,1,87,53.5,0.666666667,-12.8892,-38.6839,Brazil-NE,Atlantic,Brazil-NE
UFBA1,24.5855,1.36,0,17.0955,4.306666667,3.958,3,2.002,10.681,1.14875,1,2.2075,8,9,3,3.46,1,5.666666667,1,14.5,25.5,3.166666667,1.09925,0.2385,4.3395,0.649,58,3.77325,0.66575,0.92425,1.666666667,1.5,37,30.5,1.5,52,50.5,1,-12.8892,-38.6839,Brazil-NE,Atlantic,Brazil-NE
NA-2,16.5945,,0,7.398666667,2.5135,1.259666667,2,2.563,6.1475,0.81025,2,,8,8,,,1,4.5,1,10,2,1.125,0.319666667,0,1.79225,0.612,30,1.73875,1,1.184,0.375,0.625,20,18,1.375,30,20,0.625,,,NA-Aq,,Aquarium
NA-1,14.242,,0,8.346,1.821,1.13,2,2.1945,4.3745,0.637,2,,8,8,,,1,3.25,1,11,11,1.571428571,0.307,0,1.09,0.529,28,1.377,0.90275,0.75075,0.857142857,0.571428571,18,22,1.285714286,28,30,1,,,NA-Aq,,Aquarium
MZUSP977,19.564,1.4,0,9.7895,2.9265,1.724,3,1.2165,9.561,0.900333333,1,,16,8,,,1,4.5,1,14,10,0.5,0.304,0.118,4.17225,0.29,45,3.58725,0.50625,0.60575,0.25,0.25,32,26,1,45,32,0.25,-26.0645,-48.6035,Brazil-S,Atlantic,Brazil-SE/S
